,,,,,,,,,,,,,,,,,,,,,GM_Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BID,STID,Earthquake Name,Magnitude,Location,Date,Time,Mag_Type,faultType,Depth,Repi,Rfault,PGA,APKV2,VPK,DPK,SA03,SA1,SA3,Stracc,Event_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36
19,CE14766,Borrego Springs Area Earthquake of 07 Jul 2010,5.4,"15 mi NNW of Borrego Springs, CA",07/07/2010,16:53:33 PDT,ML,SS,14,185.2,-9999,0.006,0.006,0.81,0.2,0.013,0.01,0.002,0.018,10736069,GM_X_19_1_10736069,GM_Y_19_2_10736069,GM_Y_19_3_10736069,GM_X_19_4_10736069,GM_Y_19_5_10736069,GM_X_19_6_10736069,GM_Y_19_7_10736069,GM_X_19_8_10736069,GM_Y_19_9_10736069,GM_Y_19_10_10736069,GM_X_19_11_10736069,GM_Y_19_12_10736069,,,,,,,,,,,,,,,,,,,,,,,,
19,CE14766,Los Angeles Airport Earthquake of 25 Jul 2012,3.7,"3.3 km (2.1 mi) NE of Los Angeles Airport, CA",25/07/2012,3:18:42 AM PDT,ML,,10.8,2.6,-9999,0.046,0.046,0.98,0,0.039,0.002,0,0.021,15182841,GM_X_19_1_15182841,GM_Y_19_2_15182841,GM_Y_19_3_15182841,GM_X_19_4_15182841,GM_Y_19_5_15182841,GM_X_19_6_15182841,GM_Y_19_7_15182841,GM_X_19_8_15182841,GM_Y_19_9_15182841,GM_Y_19_10_15182841,GM_X_19_11_15182841,GM_Y_19_12_15182841,,,,,,,,,,,,,,,,,,,,,,,,
19,CE14766,Encino Earthquake of 17 Mar 2014,4.4,"3.1 km (1.9 mi) SSE of Encino, CA",17/03/2014,6:25:36 AM PDT,Mw,ALL,9.9,21.5,-9999,0.021,0.022,0.75,0.1,0.042,0.006,0,0.019,15476961,GM_X_19_1_15476961,GM_Y_19_2_15476961,GM_Y_19_3_15476961,GM_X_19_4_15476961,GM_Y_19_5_15476961,GM_X_19_6_15476961,GM_Y_19_7_15476961,GM_X_19_8_15476961,GM_Y_19_9_15476961,GM_Y_19_10_15476961,GM_X_19_11_15476961,GM_Y_19_12_15476961,,,,,,,,,,,,,,,,,,,,,,,,
19,CE14766,La Habra Earthquake of 28 Mar 2014,5.1,"2km (1mi) E of La Habra, CA",28/03/2014,9:09:42 PM PDT,Mw,ALL,4.8,42.9,-9999,0.014,0.014,1.41,0.6,0.031,0.018,0.005,0.02,15481673,GM_X_19_1_15481673,GM_Y_19_2_15481673,GM_Y_19_3_15481673,GM_X_19_4_15481673,GM_Y_19_5_15481673,GM_X_19_6_15481673,GM_Y_19_7_15481673,GM_X_19_8_15481673,GM_Y_19_9_15481673,GM_Y_19_10_15481673,GM_X_19_11_15481673,GM_Y_19_12_15481673,,,,,,,,,,,,,,,,,,,,,,,,
19,CE14766,View Park-Windsor Hills Earthquake of 03 May 2015,3.8,"1.1km (0.7mi) WNW of View Park-Windsor Hills, CA",03/05/2015,04:07:18.130 AM PDT,ML,RO,12.1,4.6,-9999,0.076,0.075,2.2,0.2,0.091,0.007,0.001,0.045,37374008,GM_X_19_1_37374008,GM_Y_19_2_37374008,GM_Y_19_3_37374008,GM_X_19_4_37374008,GM_Y_19_5_37374008,GM_X_19_6_37374008,GM_Y_19_7_37374008,GM_X_19_8_37374008,GM_Y_19_9_37374008,GM_Y_19_10_37374008,GM_X_19_11_37374008,GM_Y_19_12_37374008,,,,,,,,,,,,,,,,,,,,,,,,
19,CE14766,South El Monte Earthquake of 18 Sep 2020,4.5,"3 km (1.875 mi) WSW of South El Monte, CA",18/09/2020,23:38:46.930 PDT,MW,,16.9,28.8,-9999,0.016,0.016,0.45,0,0.044,0.003,0,0.014,38695658,GM_X_19_1_38695658,GM_Y_19_2_38695658,GM_Y_19_3_38695658,GM_X_19_4_38695658,GM_Y_19_5_38695658,GM_X_19_6_38695658,GM_Y_19_7_38695658,GM_X_19_8_38695658,GM_Y_19_9_38695658,GM_Y_19_10_38695658,GM_X_19_11_38695658,GM_Y_19_12_38695658,,,,,,,,,,,,,,,,,,,,,,,,
19,CE14766,Lennox Earthquake of 05 Apr 2021,4,"2 km (1.25 mi) E of Lennox, CA",05/04/2021,04:44:01.950 PDT,MW,,19.3,4.8,-9999,0.033,0.033,0.7,0.1,0.019,0.002,0,0.02,39838928,GM_X_19_1_39838928,GM_Y_19_2_39838928,GM_Y_19_3_39838928,GM_X_19_4_39838928,GM_Y_19_5_39838928,GM_X_19_6_39838928,GM_Y_19_7_39838928,GM_X_19_8_39838928,GM_Y_19_9_39838928,GM_Y_19_10_39838928,GM_X_19_11_39838928,GM_Y_19_12_39838928,,,,,,,,,,,,,,,,,,,,,,,,
19,CE14766,Hermosa Beach Earthquake of 08 May 2021,3.5,"5 km (3.125 mi) WSW of Hermosa Beach, CA",08/05/2021,18:55:40.440 PDT,MLR,,12.7,14.3,-9999,0.024,0.023,0.65,0,0.021,0.001,0,0.015,39645599,GM_X_19_1_39645599,GM_Y_19_2_39645599,GM_Y_19_3_39645599,GM_X_19_4_39645599,GM_Y_19_5_39645599,GM_X_19_6_39645599,GM_Y_19_7_39645599,GM_X_19_8_39645599,GM_Y_19_9_39645599,GM_Y_19_10_39645599,GM_X_19_11_39645599,GM_Y_19_12_39645599,,,,,,,,,,,,,,,,,,,,,,,,
19,CE14766,Carson Earthquake of 17 Sep 2021,4.3,"2 km (1.25 mi) E of Carson, CA",17/09/2021,19:58:34.700 PDT,MW,,11.9,17.9,-9999,0.025,0.025,0.83,0.1,0.037,0.003,0,0.022,39812319,GM_X_19_1_39812319,GM_Y_19_2_39812319,GM_Y_19_3_39812319,GM_X_19_4_39812319,GM_Y_19_5_39812319,GM_X_19_6_39812319,GM_Y_19_7_39812319,GM_X_19_8_39812319,GM_Y_19_9_39812319,GM_Y_19_10_39812319,GM_X_19_11_39812319,GM_Y_19_12_39812319,,,,,,,,,,,,,,,,,,,,,,,,
20,CE23416,La Habra Earthquake of 28 Mar 2014,5.1,"2km (1mi) E of La Habra, CA",28/03/2014,9:09:42 PM PDT,Mw,ALL,4.8,30.6,-9999,0.032,0.032,2.03,0.4,0.079,0.018,0.004,0.116,15481673,GM_X_20_1_15481673,GM_Y_20_2_15481673,GM_X_20_3_15481673,GM_Y_20_4_15481673,GM_Y_20_5_15481673,GM_X_20_6_15481673,GM_Y_20_7_15481673,GM_Y_20_8_15481673,GM_X_20_9_15481673,GM_Y_20_10_15481673,GM_Y_20_11_15481673,GM_X_20_12_15481673,GM_X_20_13_15481673,GM_Y_20_14_15481673,GM_Y_20_15_15481673,GM_DX_20_16_15481673,,,,,,,,,,,,,,,,,,,,
20,CE23416,Borrego Springs Earthquake of 10 Jun 2016,5.2,"20.5km (12.8mi) NNW of Borrego Springs, CA",10/06/2016,01:04:38.700 AM PDT,MW,SS,12.3,126.9,-9999,0.015,0.015,1.18,0.1,0.031,0.013,0.001,0.07,37374687,GM_X_20_1_37374687,GM_Y_20_2_37374687,GM_X_20_3_37374687,GM_Y_20_4_37374687,GM_Y_20_5_37374687,GM_X_20_6_37374687,GM_Y_20_7_37374687,GM_Y_20_8_37374687,GM_X_20_9_37374687,GM_Y_20_10_37374687,GM_Y_20_11_37374687,GM_X_20_12_37374687,GM_X_20_13_37374687,GM_Y_20_14_37374687,GM_Y_20_15_37374687,GM_DX_20_16_37374687,,,,,,,,,,,,,,,,,,,,
20,CE23416,Ridgecrest Earthquake of 05 Jul 2019,7.1,"18 km (11.3 mi) W of Searles Valley, CA",05/07/2019,20:19:53.040 PDT,MW,SS,8,192.7,169.8,0.013,0.013,2.41,1.5,0.035,0.028,0.011,0.062,38457511,GM_X_20_1_38457511,GM_Y_20_2_38457511,GM_X_20_3_38457511,GM_Y_20_4_38457511,GM_Y_20_5_38457511,GM_X_20_6_38457511,GM_Y_20_7_38457511,GM_Y_20_8_38457511,GM_X_20_9_38457511,GM_Y_20_10_38457511,GM_Y_20_11_38457511,GM_X_20_12_38457511,GM_X_20_13_38457511,GM_Y_20_14_38457511,GM_Y_20_15_38457511,GM_DX_20_16_38457511,,,,,,,,,,,,,,,,,,,,
20,CE23416,Ridgecrest Earthquake of 04 Jul 2019,6.4,"12 km (7.5 mi) SW of Searles Valley, CA",04/07/2019,10:33:49.040 PDT,MW,SS,10.7,185.8,174.5,0.008,0.008,0.74,0.3,0.018,0.019,0.003,0.03,38443183,GM_X_20_1_38443183,GM_Y_20_2_38443183,GM_X_20_3_38443183,GM_Y_20_4_38443183,GM_Y_20_5_38443183,GM_X_20_6_38443183,GM_Y_20_7_38443183,GM_Y_20_8_38443183,GM_X_20_9_38443183,GM_Y_20_10_38443183,GM_Y_20_11_38443183,GM_X_20_12_38443183,GM_X_20_13_38443183,GM_Y_20_14_38443183,GM_Y_20_15_38443183,GM_DX_20_16_38443183,,,,,,,,,,,,,,,,,,,,
21,CE23481,Big Bear Earthquake of 28 Jun 1992,6.5,"Big Bear, CA",28/06/1992,8:05:31 AM PDT,Ml,,1,36.3,-9999,0.11,-1,-1,-1,-1,-1,-1,0.18,3031425,GM_Z_21_1_3031425,GM_Y_21_2_3031425,GM_Y_21_3_3031425,GM_Y_21_4_3031425,GM_Y_21_5_3031425,GM_Y_21_6_3031425,GM_Y_21_7_3031425,GM_Y_21_8_3031425,GM_Y_21_9_3031425,GM_X_21_10_3031425,GM_X_21_11_3031425,GM_X_21_12_3031425,GM_X_21_13_3031425,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Landers Earthquake of 28 Jun 1992,7.3,"Landers, CA",28/06/1992,4:57:31 AM PDT,Ml,,1.1,71.1,70.1,0.08,-1,-1,-1,-1,-1,-1,0.12,3031111,GM_Z_21_1_3031111,GM_Y_21_2_3031111,GM_Y_21_3_3031111,GM_Y_21_4_3031111,GM_Y_21_5_3031111,GM_Y_21_6_3031111,GM_Y_21_7_3031111,GM_Y_21_8_3031111,GM_Y_21_9_3031111,GM_X_21_10_3031111,GM_X_21_11_3031111,GM_X_21_12_3031111,GM_X_21_13_3031111,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Palm Springs Earthquake of 08 Jul 1986,6,"Palm Springs, CA",08/07/1986,2:20:45 PDT,Mw,,9.5,53.2,-9999,0.03,-1,-1,-1,-1,-1,-1,0.05,700917,GM_Z_21_1_700917,GM_Y_21_2_700917,GM_Y_21_3_700917,GM_Y_21_4_700917,GM_Y_21_5_700917,GM_Y_21_6_700917,GM_Y_21_7_700917,GM_Y_21_8_700917,GM_Y_21_9_700917,GM_X_21_10_700917,GM_X_21_11_700917,GM_X_21_12_700917,GM_X_21_13_700917,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Whittier Earthquake of 01 Oct 1987,6.1,"Whittier, CA",01/10/1987,7:42:20 AM PDT,Ml,,9.5,83,-9999,0.02,-1,-1,-1,-1,-1,-1,0.03,731691,GM_Z_21_1_731691,GM_Y_21_2_731691,GM_Y_21_3_731691,GM_Y_21_4_731691,GM_Y_21_5_731691,GM_Y_21_6_731691,GM_Y_21_7_731691,GM_Y_21_8_731691,GM_Y_21_9_731691,GM_X_21_10_731691,GM_X_21_11_731691,GM_X_21_12_731691,GM_X_21_13_731691,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Redlands Area Earthquake of 13 Feb 2010,4.1,"4 mi S of Redlands, CA",13/02/2010,1:39:06 PM PST,ML,,8,5.6,-9999,0.031,0.031,0.84,0.1,0.041,0.003,0,0.028,10541957,GM_Z_21_1_10541957,GM_Y_21_2_10541957,GM_Y_21_3_10541957,GM_Y_21_4_10541957,GM_Y_21_5_10541957,GM_Y_21_6_10541957,GM_Y_21_7_10541957,GM_Y_21_8_10541957,GM_Y_21_9_10541957,GM_X_21_10_10541957,GM_X_21_11_10541957,GM_X_21_12_10541957,GM_X_21_13_10541957,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Calexico Earthquake of 04 Apr 2010,7.2,"30.8 mi SSE of Calexico, CA",04/04/2010,3:40:42 PM PDT,ML,SS,10,266.2,211.3,0.014,0.014,5.12,6.8,0.031,0.02,0.006,0.04,14607652,GM_Z_21_1_14607652,GM_Y_21_2_14607652,GM_Y_21_3_14607652,GM_Y_21_4_14607652,GM_Y_21_5_14607652,GM_Y_21_6_14607652,GM_Y_21_7_14607652,GM_Y_21_8_14607652,GM_Y_21_9_14607652,GM_X_21_10_14607652,GM_X_21_11_14607652,GM_X_21_12_14607652,GM_X_21_13_14607652,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Borrego Springs Area Earthquake of 07 Jul 2010,5.4,"15 mi NNW of Borrego Springs, CA",07/07/2010,16:53:33 PDT,ML,SS,14,95.2,-9999,0.01,0.01,1.01,0.2,0.021,0.019,0.001,0.021,10736069,GM_Z_21_1_10736069,GM_Y_21_2_10736069,GM_Y_21_3_10736069,GM_Y_21_4_10736069,GM_Y_21_5_10736069,GM_Y_21_6_10736069,GM_Y_21_7_10736069,GM_Y_21_8_10736069,GM_Y_21_9_10736069,GM_X_21_10_10736069,GM_X_21_11_10736069,GM_X_21_12_10736069,GM_X_21_13_10736069,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Beaumont Earthquake of 14 Sep 2011,4.1,"9.5 km (5.9 mi) WNW of Beaumont, CA",14/09/2011,7:44:50 AM PDT,ML,,16.9,14.8,-9999,0.03,0.03,0.7,0,0.017,0.001,0,0.039,11006189,GM_Z_21_1_11006189,GM_Y_21_2_11006189,GM_Y_21_3_11006189,GM_Y_21_4_11006189,GM_Y_21_5_11006189,GM_Y_21_6_11006189,GM_Y_21_7_11006189,GM_Y_21_8_11006189,GM_Y_21_9_11006189,GM_X_21_10_11006189,GM_X_21_11_11006189,GM_X_21_12_11006189,GM_X_21_13_11006189,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Devore Earthquake of 29 Dec 2015,4.4,"3.6km (2.3mi) SSW of Devore, CA",29/12/2015,05:48:57.310 PM PST,MW,SS,7,26.3,-9999,0.011,0.011,0.69,0.1,0.023,0.01,0,0.013,37507576,GM_Z_21_1_37507576,GM_Y_21_2_37507576,GM_Y_21_3_37507576,GM_Y_21_4_37507576,GM_Y_21_5_37507576,GM_Y_21_6_37507576,GM_Y_21_7_37507576,GM_Y_21_8_37507576,GM_Y_21_9_37507576,GM_X_21_10_37507576,GM_X_21_11_37507576,GM_X_21_12_37507576,GM_X_21_13_37507576,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Banning Earthquake of 06 Jan 2016,4.5,"3.8km (2.4mi) NNW of Banning, CA",06/01/2016,06:42:34.880 AM PST,ML,RO,16.7,29,-9999,0.013,0.013,0.49,0,0.024,0.002,0,0.015,37510616,GM_Z_21_1_37510616,GM_Y_21_2_37510616,GM_Y_21_3_37510616,GM_Y_21_4_37510616,GM_Y_21_5_37510616,GM_Y_21_6_37510616,GM_Y_21_7_37510616,GM_Y_21_8_37510616,GM_Y_21_9_37510616,GM_X_21_10_37510616,GM_X_21_11_37510616,GM_X_21_12_37510616,GM_X_21_13_37510616,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Cabazon Earthquake of 08 May 2018,4.5,"10.9km (6.8mi) N of Cabazon, CA",08/05/2018,04:49:34.020 PDT,MW,SS,12.9,37.1,-9999,0.035,0.035,1.43,0.1,0.071,0.006,0.001,0.038,38167848,GM_Z_21_1_38167848,GM_Y_21_2_38167848,GM_Y_21_3_38167848,GM_Y_21_4_38167848,GM_Y_21_5_38167848,GM_Y_21_6_38167848,GM_Y_21_7_38167848,GM_Y_21_8_38167848,GM_Y_21_9_38167848,GM_X_21_10_38167848,GM_X_21_11_38167848,GM_X_21_12_38167848,GM_X_21_13_38167848,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Ridgecrest Earthquake of 04 Jul 2019,6.4,"12 km (7.5 mi) SW of Searles Valley, CA",04/07/2019,10:33:49.040 PDT,MW,SS,10.7,185.4,176,0.008,0.008,0.91,0.4,0.026,0.021,0.002,0.018,38443183,GM_Z_21_1_38443183,GM_Y_21_2_38443183,GM_Y_21_3_38443183,GM_Y_21_4_38443183,GM_Y_21_5_38443183,GM_Y_21_6_38443183,GM_Y_21_7_38443183,GM_Y_21_8_38443183,GM_Y_21_9_38443183,GM_X_21_10_38443183,GM_X_21_11_38443183,GM_X_21_12_38443183,GM_X_21_13_38443183,,,,,,,,,,,,,,,,,,,,,,,
21,CE23481,Ridgecrest Earthquake of 05 Jul 2019,7.1,"18 km (11.3 mi) W of Searles Valley, CA",05/07/2019,20:19:53.040 PDT,MW,SS,8,194,166.7,0.029,0.028,2.91,2.6,0.063,0.077,0.005,0.031,38457511,GM_Z_21_1_38457511,GM_Y_21_2_38457511,GM_Y_21_3_38457511,GM_Y_21_4_38457511,GM_Y_21_5_38457511,GM_Y_21_6_38457511,GM_Y_21_7_38457511,GM_Y_21_8_38457511,GM_Y_21_9_38457511,GM_X_21_10_38457511,GM_X_21_11_38457511,GM_X_21_12_38457511,GM_X_21_13_38457511,,,,,,,,,,,,,,,,,,,,,,,
22,CE23515,Big Bear Earthquake of 28 Jun 1992,6.5,"Big Bear, CA",28/06/1992,8:05:31 AM PDT,Ml,,1,44.3,-9999,0.08,-1,-1,-1,-1,-1,-1,0.2,3031425,GM_Z_22_1_3031425,GM_Y_22_2_3031425,GM_Y_22_3_3031425,GM_Y_22_4_3031425,GM_Y_22_5_3031425,GM_Y_22_6_3031425,GM_Y_22_7_3031425,GM_Y_22_8_3031425,GM_Y_22_9_3031425,GM_X_22_10_3031425,GM_X_22_11_3031425,GM_X_22_12_3031425,GM_X_22_13_3031425,,,,,,,,,,,,,,,,,,,,,,,
22,CE23515,Landers Earthquake of 28 Jun 1992,7.3,"Landers, CA",28/06/1992,4:57:31 AM PDT,Ml,,1.1,80.2,79.9,0.1,-1,-1,-1,-1,-1,-1,0.18,3031111,GM_Z_22_1_3031111,GM_Y_22_2_3031111,GM_Y_22_3_3031111,GM_Y_22_4_3031111,GM_Y_22_5_3031111,GM_Y_22_6_3031111,GM_Y_22_7_3031111,GM_Y_22_8_3031111,GM_Y_22_9_3031111,GM_X_22_10_3031111,GM_X_22_11_3031111,GM_X_22_12_3031111,GM_X_22_13_3031111,,,,,,,,,,,,,,,,,,,,,,,
22,CE23515,Northridge Earthquake of 17 Jan 1994,6.4,"Northridge, CA",17/01/1994,4:30:55 AM PST,Ml,,19,115.8,107.6,0.05,-1,-1,-1,-1,-1,-1,0.07,3144585,GM_Z_22_1_3144585,GM_Y_22_2_3144585,GM_Y_22_3_3144585,GM_Y_22_4_3144585,GM_Y_22_5_3144585,GM_Y_22_6_3144585,GM_Y_22_7_3144585,GM_Y_22_8_3144585,GM_Y_22_9_3144585,GM_X_22_10_3144585,GM_X_22_11_3144585,GM_X_22_12_3144585,GM_X_22_13_3144585,,,,,,,,,,,,,,,,,,,,,,,
22,CE23515,Sierra Madre Earthquake of 28 Jun 1991,5.8,"Sierra Madre, CA",28/06/1991,7:43:00 AM PDT,Ml,,12,67.8,-9999,0.02,-1,-1,-1,-1,-1,-1,0.03,2021449,GM_Z_22_1_2021449,GM_Y_22_2_2021449,GM_Y_22_3_2021449,GM_Y_22_4_2021449,GM_Y_22_5_2021449,GM_Y_22_6_2021449,GM_Y_22_7_2021449,GM_Y_22_8_2021449,GM_Y_22_9_2021449,GM_X_22_10_2021449,GM_X_22_11_2021449,GM_X_22_12_2021449,GM_X_22_13_2021449,,,,,,,,,,,,,,,,,,,,,,,
22,CE23515,Whittier Earthquake of 01 Oct 1987,6.1,"Whittier, CA",01/10/1987,7:42:20 AM PDT,Ml,,9.5,72.7,-9999,0.03,-1,-1,-1,-1,-1,-1,0.03,731691,GM_Z_22_1_731691,GM_Y_22_2_731691,GM_Y_22_3_731691,GM_Y_22_4_731691,GM_Y_22_5_731691,GM_Y_22_6_731691,GM_Y_22_7_731691,GM_Y_22_8_731691,GM_Y_22_9_731691,GM_X_22_10_731691,GM_X_22_11_731691,GM_X_22_12_731691,GM_X_22_13_731691,,,,,,,,,,,,,,,,,,,,,,,
23,CE23516,Big Bear Earthquake of 28 Jun 1992,6.5,"Big Bear, CA",28/06/1992,8:05:31 AM PDT,Ml,,1,45.4,-9999,0.13,-1,-1,-1,-1,-1,-1,0.4,3031425,GM_Z_23_1_3031425,GM_Y_23_2_3031425,GM_Y_23_3_3031425,GM_Y_23_4_3031425,GM_Y_23_5_3031425,GM_Y_23_6_3031425,GM_Y_23_7_3031425,GM_Y_23_8_3031425,GM_Y_23_9_3031425,GM_X_23_10_3031425,GM_X_23_11_3031425,GM_X_23_12_3031425,GM_X_23_13_3031425,,,,,,,,,,,,,,,,,,,,,,,
23,CE23516,Landers Earthquake of 28 Jun 1992,7.3,"Landers, CA",28/06/1992,4:57:31 AM PDT,Ml,,1.1,80.8,80.2,0.11,-1,-1,-1,-1,-1,-1,0.28,3031111,GM_Z_23_1_3031111,GM_Y_23_2_3031111,GM_Y_23_3_3031111,GM_Y_23_4_3031111,GM_Y_23_5_3031111,GM_Y_23_6_3031111,GM_Y_23_7_3031111,GM_Y_23_8_3031111,GM_Y_23_9_3031111,GM_X_23_10_3031111,GM_X_23_11_3031111,GM_X_23_12_3031111,GM_X_23_13_3031111,,,,,,,,,,,,,,,,,,,,,,,
23,CE23516,Northridge Earthquake of 17 Jan 1994,6.4,"Northridge, CA",17/01/1994,4:30:55 AM PST,Ml,,19,116.5,108.8,0.08,-1,-1,-1,-1,-1,-1,0.2,3144585,GM_Z_23_1_3144585,GM_Y_23_2_3144585,GM_Y_23_3_3144585,GM_Y_23_4_3144585,GM_Y_23_5_3144585,GM_Y_23_6_3144585,GM_Y_23_7_3144585,GM_Y_23_8_3144585,GM_Y_23_9_3144585,GM_X_23_10_3144585,GM_X_23_11_3144585,GM_X_23_12_3144585,GM_X_23_13_3144585,,,,,,,,,,,,,,,,,,,,,,,
23,CE23516,Whittier Earthquake of 01 Oct 1987,6.1,"Whittier, CA",01/10/1987,7:42:20 AM PDT,Ml,,9.5,72.7,-9999,0.03,-1,-1,-1,-1,-1,-1,0.09,731691,GM_Z_23_1_731691,GM_Y_23_2_731691,GM_Y_23_3_731691,GM_Y_23_4_731691,GM_Y_23_5_731691,GM_Y_23_6_731691,GM_Y_23_7_731691,GM_Y_23_8_731691,GM_Y_23_9_731691,GM_X_23_10_731691,GM_X_23_11_731691,GM_X_23_12_731691,GM_X_23_13_731691,,,,,,,,,,,,,,,,,,,,,,,
23,CE23516,Chino Hills Earthquake of 29 Jul 2008,5.4,"3 mi WSW of Chino Hills, CA",29/07/2008,11:42:15 AM PDT,Mw,,13.6,45.5,-9999,0.052,0.052,2.97,0.2,0.133,0.024,0.003,0.076,14383980,GM_Z_23_1_14383980,GM_Y_23_2_14383980,GM_Y_23_3_14383980,GM_Y_23_4_14383980,GM_Y_23_5_14383980,GM_Y_23_6_14383980,GM_Y_23_7_14383980,GM_Y_23_8_14383980,GM_Y_23_9_14383980,GM_X_23_10_14383980,GM_X_23_11_14383980,GM_X_23_12_14383980,GM_X_23_13_14383980,,,,,,,,,,,,,,,,,,,,,,,
23,CE23516,Lake Elsinore Earthquake of 02 Sep 2007,4.7,"8 mi WNW of Lake Elsinore, CA",02/09/2007,10:29:14 AM PDT,ML,,12.5,40.7,-9999,0.036,0.036,1.34,0.1,0.053,0.004,0,0.05,10275733,GM_Z_23_1_10275733,GM_Y_23_2_10275733,GM_Y_23_3_10275733,GM_Y_23_4_10275733,GM_Y_23_5_10275733,GM_Y_23_6_10275733,GM_Y_23_7_10275733,GM_Y_23_8_10275733,GM_Y_23_9_10275733,GM_X_23_10_10275733,GM_X_23_11_10275733,GM_X_23_12_10275733,GM_X_23_13_10275733,,,,,,,,,,,,,,,,,,,,,,,
23,CE23516,San Bernardino Earthquake of 08 Jan 2009,4.5,"2 mi SSW of San Bernardino, CA",08/01/2009,7:49:46 PM PST,ML,SS,14.1,4.8,-9999,0.102,0.102,7.3,0.5,0.216,0.035,0.002,0.155,10370141,GM_Z_23_1_10370141,GM_Y_23_2_10370141,GM_Y_23_3_10370141,GM_Y_23_4_10370141,GM_Y_23_5_10370141,GM_Y_23_6_10370141,GM_Y_23_7_10370141,GM_Y_23_8_10370141,GM_Y_23_9_10370141,GM_X_23_10_10370141,GM_X_23_11_10370141,GM_X_23_12_10370141,GM_X_23_13_10370141,,,,,,,,,,,,,,,,,,,,,,,
23,CE23516,Inglewood Area Earthquake of 17 May 2009,4.7,"1 mi S of Inglewood, CA",17/05/2009,8:39:36 PM PDT,Mw,SS,15,98.5,-9999,0.01,0.01,0.49,0,0.029,0.003,0,0.029,10410337,GM_Z_23_1_10410337,GM_Y_23_2_10410337,GM_Y_23_3_10410337,GM_Y_23_4_10410337,GM_Y_23_5_10410337,GM_Y_23_6_10410337,GM_Y_23_7_10410337,GM_Y_23_8_10410337,GM_Y_23_9_10410337,GM_X_23_10_10410337,GM_X_23_11_10410337,GM_X_23_12_10410337,GM_X_23_13_10410337,,,,,,,,,,,,,,,,,,,,,,,
23,CE23516,Beaumont Area Earthquake of 16 Jan 2010,4.3,"3 mi WNW of Beaumont, CA",16/01/2010,4:03:25 AM PST,ML,,14.8,28.9,-9999,0.009,0.009,0.4,0,0.017,0.002,0,0.016,10530013,GM_Z_23_1_10530013,GM_Y_23_2_10530013,GM_Y_23_3_10530013,GM_Y_23_4_10530013,GM_Y_23_5_10530013,GM_Y_23_6_10530013,GM_Y_23_7_10530013,GM_Y_23_8_10530013,GM_Y_23_9_10530013,GM_X_23_10_10530013,GM_X_23_11_10530013,GM_X_23_12_10530013,GM_X_23_13_10530013,,,,,,,,,,,,,,,,,,,,,,,
23,CE23516,Calexico Earthquake of 04 Apr 2010,7.2,"30.8 mi SSE of Calexico, CA",04/04/2010,3:40:42 PM PDT,ML,SS,10,274,218.8,0.022,0.022,5.85,7,0.055,0.023,0.009,0.108,14607652,GM_Z_23_1_14607652,GM_Y_23_2_14607652,GM_Y_23_3_14607652,GM_Y_23_4_14607652,GM_Y_23_5_14607652,GM_Y_23_6_14607652,GM_Y_23_7_14607652,GM_Y_23_8_14607652,GM_Y_23_9_14607652,GM_X_23_10_14607652,GM_X_23_11_14607652,GM_X_23_12_14607652,GM_X_23_13_14607652,,,,,,,,,,,,,,,,,,,,,,,
23,CE23516,Borrego Springs Area Earthquake of 07 Jul 2010,5.4,"15 mi NNW of Borrego Springs, CA",07/07/2010,16:53:33 PDT,ML,SS,14,103.1,-9999,0.018,0.018,1.49,0.2,0.036,0.024,0.002,0.077,10736069,GM_Z_23_1_10736069,GM_Y_23_2_10736069,GM_Y_23_3_10736069,GM_Y_23_4_10736069,GM_Y_23_5_10736069,GM_Y_23_6_10736069,GM_Y_23_7_10736069,GM_Y_23_8_10736069,GM_Y_23_9_10736069,GM_X_23_10_10736069,GM_X_23_11_10736069,GM_X_23_12_10736069,GM_X_23_13_10736069,,,,,,,,,,,,,,,,,,,,,,,
