,,,,,,,,,,,,,,,,,,,,,GM_Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BID,STID,Earthquake Name,Magnitude,Location,Date,Time,Mag_Type,faultType,Depth,Repi,Rfault,PGA,APKV2,VPK,DPK,SA03,SA1,SA3,Stracc,Event_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36
1,CE01699,Ocotillo Area Earthquake of 14 Jun 2010,5.7,"5 mi SE of Ocotillo, CA",14/06/2010,9:26:58 PM PDT,ML,SS,6.9,34.6,-9999,0.065,0.064,3.95,1.7,0.153,0.034,0.016,0.181,14745580,GM_Z_1_1_14745580,GM_Y_1_2_14745580,GM_X_1_3_14745580,GM_Y_1_4_14745580,GM_Y_1_5_14745580,GM_Y_1_6_14745580,GM_X_1_7_14745580,GM_Y_1_8_14745580,GM_Y_1_9_14745580,GM_Y_1_10_14745580,GM_Y_1_11_14745580,GM_X_1_12_14745580,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Borrego Springs Area Earthquake of 07 Jul 2010,5.4,"15 mi NNW of Borrego Springs, CA",07/07/2010,16:53:33 PDT,ML,SS,14,111.4,-9999,0.017,0.016,1.51,0.2,0.032,0.026,0.003,0.038,10736069,GM_Z_1_1_10736069,GM_Y_1_2_10736069,GM_X_1_3_10736069,GM_Y_1_4_10736069,GM_Y_1_5_10736069,GM_Y_1_6_10736069,GM_X_1_7_10736069,GM_Y_1_8_10736069,GM_Y_1_9_10736069,GM_Y_1_10_10736069,GM_Y_1_11_10736069,GM_X_1_12_10736069,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Calexico Area Earthquake of 14 Sep 2010,5,"50 mi SSE of Calexico, CA",14/09/2010,03:52:17 PDT,Mw,SS,10,91.2,-9999,0.008,0.008,0.62,0.1,0.017,0.012,0.001,0.027,10798005,GM_Z_1_1_10798005,GM_Y_1_2_10798005,GM_X_1_3_10798005,GM_Y_1_4_10798005,GM_Y_1_5_10798005,GM_Y_1_6_10798005,GM_X_1_7_10798005,GM_Y_1_8_10798005,GM_Y_1_9_10798005,GM_Y_1_10_10798005,GM_Y_1_11_10798005,GM_X_1_12_10798005,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,El Centro Earthquake of 22 May 2012,4,"19.2 km (11.9 mi) SW of El Centro, CA",22/05/2012,8:06:24 AM PDT,ML,SS,9.2,17.1,-9999,0.013,0.013,0.77,0.1,0.027,0.006,0,0.038,15153497,GM_Z_1_1_15153497,GM_Y_1_2_15153497,GM_X_1_3_15153497,GM_Y_1_4_15153497,GM_Y_1_5_15153497,GM_Y_1_6_15153497,GM_X_1_7_15153497,GM_Y_1_8_15153497,GM_Y_1_9_15153497,GM_Y_1_10_15153497,GM_Y_1_11_15153497,GM_X_1_12_15153497,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Borrego Springs Earthquake of 10 Jun 2016,5.2,"20.5km (12.8mi) NNW of Borrego Springs, CA",10/06/2016,01:04:38.700 AM PDT,MW,SS,12.3,109,-9999,0.017,0.018,0.81,0.1,0.051,0.008,0.001,0.041,37374687,GM_Z_1_1_37374687,GM_Y_1_2_37374687,GM_X_1_3_37374687,GM_Y_1_4_37374687,GM_Y_1_5_37374687,GM_Y_1_6_37374687,GM_X_1_7_37374687,GM_Y_1_8_37374687,GM_Y_1_9_37374687,GM_Y_1_10_37374687,GM_Y_1_11_37374687,GM_X_1_12_37374687,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,"Alberto Oviedo Mota, B.C. Earthquake of 19 Nov 2018",4.8,"8 km (5.0 mi) WSW of Alberto Oviedo Mota, B.C., MX",19/11/2018,12:18:42.510 PST,MW,SS,10.9,70.2,-9999,0.011,0.01,0.63,0.1,0.024,0.006,0.001,0.023,38138175,GM_Z_1_1_38138175,GM_Y_1_2_38138175,GM_X_1_3_38138175,GM_Y_1_4_38138175,GM_Y_1_5_38138175,GM_Y_1_6_38138175,GM_X_1_7_38138175,GM_Y_1_8_38138175,GM_Y_1_9_38138175,GM_Y_1_10_38138175,GM_Y_1_11_38138175,GM_X_1_12_38138175,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Ocotillo Wells Earthquake of 10 May 2020,4.5,"17 km (10.625 mi) SE of Ocotillo Wells, CA",10/05/2020,15:07:40.370 PDT,MW,,10.2,49.8,-9999,0.01,0.009,0.37,0.1,0.013,0.006,0.001,0.022,38488354,GM_Z_1_1_38488354,GM_Y_1_2_38488354,GM_X_1_3_38488354,GM_Y_1_4_38488354,GM_Y_1_5_38488354,GM_Y_1_6_38488354,GM_X_1_7_38488354,GM_Y_1_8_38488354,GM_Y_1_9_38488354,GM_Y_1_10_38488354,GM_Y_1_11_38488354,GM_X_1_12_38488354,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Westmorland Earthquake of 30 Sep 2020,4.9,"4 km (2.5 mi) NE of Westmorland, CA",30/09/2020,17:31:27.340 PDT,MW,,11.5,30.6,-9999,0.019,0.018,1.74,0.2,0.045,0.024,0.001,0.025,39641528,GM_Z_1_1_39641528,GM_Y_1_2_39641528,GM_X_1_3_39641528,GM_Y_1_4_39641528,GM_Y_1_5_39641528,GM_Y_1_6_39641528,GM_X_1_7_39641528,GM_Y_1_8_39641528,GM_Y_1_9_39641528,GM_Y_1_10_39641528,GM_Y_1_11_39641528,GM_X_1_12_39641528,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Calipatria Earthquake of 05 Jun 2021,5.3,"11 km (6.875 mi) W of Calipatria, CA",05/06/2021,10:55:58.820 PDT,MW,,5.8,40.3,-9999,0.011,0.011,1.28,0.2,0.031,0.018,0.003,0.025,39919392,GM_Z_1_1_39919392,GM_Y_1_2_39919392,GM_X_1_3_39919392,GM_Y_1_4_39919392,GM_Y_1_5_39919392,GM_Y_1_6_39919392,GM_X_1_7_39919392,GM_Y_1_8_39919392,GM_Y_1_9_39919392,GM_Y_1_10_39919392,GM_Y_1_11_39919392,GM_X_1_12_39919392,,,,,,,,,,,,,,,,,,,,,,,,
1,CE01699,Heber Earthquake of 29 Apr 2023,4.1,"3 km (1.875 mi) SSW of Heber, CA",29/04/2023,05:07:03.500 PDT,MW,,10.4,8,-9999,0.055,0.055,2.11,0.3,0.096,0.021,0.002,0.177,40214151,GM_Z_1_1_40214151,GM_Y_1_2_40214151,GM_X_1_3_40214151,GM_Y_1_4_40214151,GM_Y_1_5_40214151,GM_Y_1_6_40214151,GM_X_1_7_40214151,GM_Y_1_8_40214151,GM_Y_1_9_40214151,GM_Y_1_10_40214151,GM_Y_1_11_40214151,GM_X_1_12_40214151,,,,,,,,,,,,,,,,,,,,,,,,
