Station,Event,Sensor File,Peak Acceleration (cm/s²),Peak Velocity (cm/s),Arias Intensity (m/s)
24602,Encino Earthquake of 17 Mar 2014,GM_Y_48_12_15476961.V2,7.154,0.459,0.001143734998450936
24602,Encino Earthquake of 17 Mar 2014,GM_X_48_2_15476961.V2,12.55,0.288,0.0006590079241837986
24602,Encino Earthquake of 17 Mar 2014,GM_Y_48_4_15476961.V2,6.973,0.242,0.00028612530089736944
24602,Encino Earthquake of 17 Mar 2014,GM_Y_48_17_15476961.V2,4.201,0.302,0.0006884317625448448
24602,Encino Earthquake of 17 Mar 2014,GM_Y_48_14_15476961.V2,4.952,0.372,0.0007611334367229997
24602,Encino Earthquake of 17 Mar 2014,GM_Y_48_7_15476961.V2,12.686,0.326,0.0009364469393931703
24602,Encino Earthquake of 17 Mar 2014,GM_X_48_8_15476961.V2,6.944,0.511,0.0015832392688206718
24602,Encino Earthquake of 17 Mar 2014,GM_Y_48_18_15476961.V2,5.734,0.427,0.0009525885804164957
24602,Encino Earthquake of 17 Mar 2014,GM_Y_48_11_15476961.V2,6.187,0.408,0.001081028997223485
24602,Encino Earthquake of 17 Mar 2014,GM_X_48_13_15476961.V2,5.588,0.489,0.0012416879101484616
24602,Encino Earthquake of 17 Mar 2014,GM_X_48_16_15476961.V2,8.267,0.621,0.0018754991286315456
24602,Encino Earthquake of 17 Mar 2014,GM_Y_48_9_15476961.V2,7.474,0.421,0.0010462746016016882
24602,Encino Earthquake of 17 Mar 2014,GM_X_48_5_15476961.V2,11.6,0.367,0.0008475070568169482
24602,Encino Earthquake of 17 Mar 2014,GM_Y_48_3_15476961.V2,6.039,0.245,0.00038036419008628244
24602,Encino Earthquake of 17 Mar 2014,GM_Z_48_1_15476961.V2,12.943,0.25,0.0007186144643001523
24602,Encino Earthquake of 17 Mar 2014,GM_X_48_10_15476961.V2,5.803,0.484,0.0011978500295035481
24602,Encino Earthquake of 17 Mar 2014,GM_Y_48_6_15476961.V2,19.046,0.384,0.0010059736528752884
24602,Encino Earthquake of 17 Mar 2014,GM_Y_48_15_15476961.V2,4.902,0.395,0.0009297491279666047
24602,Encino Earthquake of 17 Mar 2014,GM_X_48_19_15476961.V2,14.377,1.017,0.005067909992668038
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_20_39838928.V2,9.768,0.766,0.001295559134381842
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_12_39838928.V2,12.865,0.495,0.0011940543705428516
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_4_39838928.V2,19.397,0.452,0.0013051142743905212
24602,Lennox Earthquake of 05 Apr 2021,GM_X_48_2_39838928.V2,18.214,0.462,0.001249454495204777
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_17_39838928.V2,5.868,0.307,0.0005621328959076582
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_14_39838928.V2,7.934,0.383,0.0005688305206041888
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_7_39838928.V2,15.573,0.55,0.0011079757789714672
24602,Lennox Earthquake of 05 Apr 2021,GM_X_48_8_39838928.V2,11.489,0.485,0.0008077996313463328
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_18_39838928.V2,5.882,0.312,0.0006640539326787827
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_11_39838928.V2,11.867,0.487,0.000992009904859251
24602,Lennox Earthquake of 05 Apr 2021,GM_X_48_13_39838928.V2,5.882,0.328,0.0003837246530523734
24602,Lennox Earthquake of 05 Apr 2021,GM_X_48_16_39838928.V2,5.134,0.266,0.0003785516083369971
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_9_39838928.V2,14.772,0.54,0.0012850751275689542
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_3_39838928.V2,19.281,0.463,0.0013073052067172999
24602,Lennox Earthquake of 05 Apr 2021,GM_X_48_5_39838928.V2,14.28,0.38,0.0006281679487172708
24602,Lennox Earthquake of 05 Apr 2021,GM_Z_48_1_39838928.V2,8.194,0.15,0.0005744823409114023
24602,Lennox Earthquake of 05 Apr 2021,GM_X_48_10_39838928.V2,8.853,0.413,0.0005547096786395037
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_6_39838928.V2,14.24,0.5,0.0010740740309315374
24602,Lennox Earthquake of 05 Apr 2021,GM_X_48_19_39838928.V2,8.618,0.6,0.0009867306838027582
24602,Lennox Earthquake of 05 Apr 2021,GM_Y_48_15_39838928.V2,7.535,0.386,0.0006075435820140454
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_X_48_16_38457511.V2,38.7,25.389,0.7482866924942344
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_9_38457511.V2,30.348,5.609,0.038922277297387606
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_X_48_13_38457511.V2,24.586,18.877,0.3708340669995953
